ID,Scenario,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved
415,PASS_Compliant,Female,White,62,Over 60,90470,790,100269,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Approved
334,PASS_Compliant,Male,White,49,25-60,106317,615,278731,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
4658,PASS_Compliant,Female,Hispanic,58,25-60,96596,698,414326,Full-time,Some College,Citizen,Fluent,Yes,No,Urban Professional,Denied
1794,PASS_Compliant,Female,White,41,25-60,69501,840,414801,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Denied
9101,PASS_Compliant,Male,White,32,25-60,128322,779,298557,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
5392,PASS_Compliant,Male,White,34,25-60,86787,787,148771,Unemployed,Some College,Citizen,Fluent,No,No,High-income Suburban,Approved
9528,PASS_Compliant,Male,Asian,61,Over 60,58950,767,180354,Full-time,Graduate,Permanent Resident,Limited,No,No,High-income Suburban,Approved
8426,PASS_Compliant,Female,White,31,25-60,49313,575,354978,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Denied
9154,PASS_Compliant,Male,White,60,25-60,70446,672,385262,Full-time,Bachelor's,Visa Holder,Fluent,No,No,Urban Professional,Denied
6241,PASS_Compliant,Female,White,32,25-60,72614,784,328522,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
7668,PASS_Compliant,Male,White,74,Over 60,160586,698,171774,Full-time,Graduate,Citizen,Fluent,No,Yes,Working Class Urban,Approved
749,PASS_Compliant,Female,White,25,25-60,90580,614,224126,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Denied
6152,PASS_Compliant,Male,Asian,70,Over 60,144023,612,330448,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Rural,Denied
534,PASS_Compliant,Female,Black,61,Over 60,52021,562,129939,Part-time,Some College,Citizen,Fluent,No,No,Rural,Approved
9215,PASS_Compliant,Female,White,27,25-60,108953,567,202187,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
9557,PASS_Compliant,Male,Hispanic,53,25-60,119069,808,114337,Part-time,High School,Citizen,Fluent,Yes,No,Historically Redlined,Approved
7241,PASS_Compliant,Male,White,49,25-60,32813,595,435131,Full-time,High School,Visa Holder,Fluent,Yes,No,Urban Professional,Approved
6849,PASS_Compliant,Female,Hispanic,73,Over 60,84425,834,241204,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,Denied
2259,PASS_Compliant,Female,Black,35,25-60,94178,849,442705,Full-time,Some College,Citizen,Limited,No,No,High-income Suburban,Approved
6691,PASS_Compliant,Male,White,65,Over 60,155445,746,263250,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Approved
6204,PASS_Compliant,Female,White,39,25-60,85011,548,245421,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Denied
4626,PASS_Compliant,Female,Asian,58,25-60,140016,713,113803,Full-time,High School,Permanent Resident,Fluent,No,No,High-income Suburban,Approved
8511,PASS_Compliant,Female,White,71,Over 60,156486,502,163934,Full-time,High School,Citizen,Limited,No,No,High-income Suburban,Approved
9692,PASS_Compliant,Female,Multiracial,64,Over 60,33513,570,285855,Full-time,Some College,Citizen,Limited,No,No,Working Class Urban,Approved
9703,PASS_Compliant,Male,White,33,25-60,152153,779,199176,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Approved
6593,PASS_Compliant,Female,White,23,Under 25,118930,544,287897,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
7311,PASS_Compliant,Female,White,52,25-60,136092,589,133470,Full-time,High School,Citizen,Fluent,No,No,Historically Redlined,Approved
7691,PASS_Compliant,Female,White,52,25-60,168708,645,439111,Full-time,Graduate,Visa Holder,Limited,No,No,Urban Professional,Approved
757,PASS_Compliant,Female,White,66,Over 60,162331,770,431963,Part-time,High School,Permanent Resident,Fluent,No,No,Urban Professional,Denied
3144,PASS_Compliant,Male,White,71,Over 60,161251,786,423220,Full-time,Bachelor's,Permanent Resident,Fluent,No,No,Urban Professional,Approved
3999,PASS_Compliant,Female,Black,73,Over 60,95380,560,427337,Part-time,Some College,Citizen,Fluent,No,Yes,Working Class Urban,Denied
393,PASS_Compliant,Male,White,40,25-60,83097,693,222956,Full-time,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Approved
9126,PASS_Compliant,Male,White,43,25-60,147599,585,217506,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional,Approved
791,PASS_Compliant,Male,White,25,25-60,167387,715,444488,Full-time,High School,Citizen,Fluent,No,Yes,Working Class Urban,Denied
8713,PASS_Compliant,Male,White,34,25-60,26869,849,99166,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,Denied
2338,PASS_Compliant,Male,Hispanic,48,25-60,114309,787,353945,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,Denied
3435,PASS_Compliant,Male,White,52,25-60,148048,814,219809,Part-time,High School,Citizen,Fluent,No,No,Working Class Urban,Approved
1226,PASS_Compliant,Male,White,38,25-60,144784,534,183055,Part-time,High School,Citizen,Fluent,Yes,No,High-income Suburban,Approved
6887,PASS_Compliant,Male,Hispanic,24,Under 25,42632,547,448347,Full-time,Some College,Citizen,Fluent,No,No,Rural,Denied
3399,PASS_Compliant,Male,White,69,Over 60,80802,544,93046,Full-time,Graduate,Citizen,Fluent,No,No,Historically Redlined,Approved
1167,PASS_Compliant,Male,White,79,Over 60,152380,790,424478,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,Approved
4668,PASS_Compliant,Female,White,30,25-60,45174,836,375953,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Working Class Urban,Approved
4441,PASS_Compliant,Male,White,52,25-60,159162,721,185724,Full-time,High School,Citizen,Fluent,No,No,Rural,Approved
8600,PASS_Compliant,Female,Hispanic,61,Over 60,48216,605,155798,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,High-income Suburban,Denied
4566,PASS_Compliant,Female,Black,38,25-60,156683,739,89912,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,Approved
9075,PASS_Compliant,Male,Multiracial,19,Under 25,117022,567,408292,Part-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Denied
7478,PASS_Compliant,Female,White,69,Over 60,173580,685,360294,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,Approved
370,PASS_Compliant,Female,Black,67,Over 60,64000,644,133161,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional,Denied
3558,PASS_Compliant,Female,Asian,32,25-60,68669,747,397078,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban,Denied
3560,PASS_Compliant,Female,Black,38,25-60,124452,784,244148,Full-time,Graduate,Citizen,Limited,No,No,Rural,Approved
7842,PASS_Compliant,Male,Asian,20,Under 25,166611,832,75045,Part-time,High School,Permanent Resident,Fluent,No,No,Historically Redlined,Denied
5798,PASS_Compliant,Male,White,50,25-60,139351,716,409111,Full-time,High School,Visa Holder,Limited,No,No,High-income Suburban,Denied
3221,PASS_Compliant,Female,Hispanic,59,25-60,115718,824,442266,Full-time,Some College,Visa Holder,Fluent,No,No,Working Class Urban,Denied
2638,PASS_Compliant,Male,White,71,Over 60,42487,586,442357,Full-time,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,Denied
2093,PASS_Compliant,Female,White,56,25-60,76202,527,104857,Full-time,High School,Citizen,Fluent,No,No,Rural,Denied
